,commodity,num of obs
1727,Other liquid biofuels - Consumption by machinery ,18
614,Direct use of geothermal heat - Consumption not elsewhere specified (other),18
93,Bagasse - Consumption by chemical and petrochemical,18
1216,Liquefied petroleum gas (LPG) - Own use by gas works,17
1310,Motor Gasoline - Other energy industry own use,17
243,Bitumen - Transformation in briquetting plants,17
1929,Peat - consumption by machinery,17
1103,Industrial Waste - Transformation in coke ovens,17
1848,Vegetal waste - Consumption not elsewhere specified (other),17
160,Biogases - Consumption by iron and steel,17
1579,Oil shale - Imports,17
584,Conventional crude oil - transformation in CHP plants - autoproducers,17
1353,Municipal Wastes - Other energy industry own use,17
1128,Kerosene-type Jet Fuel - Losses,17
24,"Animal waste - Transformation in electricity, CHP and heat plants",17
23,animal waste - Transformation,17
65,Anthracite - transformation in CHP plants - autoproducers,17
1286,Motor Gasoline - Consumption by mining and quarrying ,17
2026,Petroleum coke - Consumption by other consumers,17
1832,Other recovered gases - Transformation in heat plants - main activity producers,17
564,Conventional crude oil - consumption by transport,17
672,Ethane - Consumption by industries not elsewhere specified,17
1892,Patent fuel - consumption by iron and steel industry,17
674,"Ethane - Consumption by other manufacturing, construction and non-fuel mining industry",17
9,Animal waste - Consumption by commerce and public services,17
505,Coking coal - consumption by chemical and petrochemical industry,17
1858,Vegetal waste - Stock changes,17
917,"Gasworks Gas - Own use by electricity, heat and CHP plants",17
562,Conventional crude oil - consumption by pipeline transport,17
1811,Other recovered gases - Consumption by non-ferrous metals ,16
1294,Motor Gasoline - Consumption by pipeline transport,16
975,Hard coal - Own use by other energy producers,16
929,Gasworks Gas - Transformation in electricity plants - main activity producers,16
1084,Industrial Waste - Consumption not elsewhere specified (other),16
898,Gasworks Gas - Consumption by non-ferrous metals ,16
411,"Charcoal - Consumption by manufacturing, construction and non-fuel industry",16
1997,Peat products - Losses,16
482,Coke Oven Gas - Other transformation,16
1662,Other hydrocarbons - transformation in electricity plants - autoproducers,16
1663,Other hydrocarbons - transformation in electricity plants - main activity producers,16
1899,"Patent fuel - Consumption by paper, pulp and print",16
1136,Kerosene-type Jet Fuel - Transformation,16
474,Coke Oven Gas - Consumption by wood and wood products ,16
257,Black Liquor - Other transformation,16
588,Conventional crude oil - transformation in heat plants - autoproducers,16
549,"Conventional crude oil - consumption by agriculture, forestry and fishing",16
59,Anthracite - receipts from other sources,16
1062,Solar thermal – Autoproducer,16
2246,White spirit and special boiling point industrial spirits - Consumption by rail,16
1576,Oil shale - Exports,16
149,Biodiesel - Transformation,16
1957,Peat - Own use by coal mines,16
1575,Oil shale - Energy industries own use,16
2236,Uranium - estimated additional reserves,16
413,"Charcoal - Consumption by other manuf., const. and non-fuel ind.",16
1583,Oil shale - Own use in coal mines,16
503,Coke Oven Gas - Transformation in natural gas blending plants,15
1580,Oil shale - Losses,15
2192,Electricity - Own use by coal liquefaction plants,15
546,Coking coal - transformation in main activity producer CHP plants,15
1981,Peat Products - Consumption by non-metallic minerals ,15
1989,Peat Products - Consumption not elsewhere specified (industry),15
1091,Industrial Waste - Other energy industry own use,15
1896,Patent fuel - Consumption by non-metallic minerals ,15
2139,Sub-bituminous coal - losses,15
1766,Other oil products n.e.c. - Consumption by non-ferrous metals ,15
2255,White spirit and special boiling point industrial spirits - Own use by oil refineries,15
1755,"Other oil products n.e.c. - Consumption by agriculture, forestry and fishing",15
1731,Other liquid biofuels - Consumption by non-metallic minerals ,15
1853,Vegetal waste - Imports,15
182,Biogases - Other energy industry own use,15
1718,Other kerosene - Transformation in natural gas blending plants,15
2249,White spirit and special boiling point industrial spirits - Energy industries own use,15
460,Coke Oven Gas - Consumption by construction ,15
597,Crude petroleum - reserves from tar sands,15
341,Brown coal briquettes - Transformation in blast furnaces,15
2239,White spirit and special boiling point industrial spirits - Consumption by construction ,15
1890,Patent fuel - Consumption by food and tobacco ,15
915,Gasworks Gas - Other energy industry own use,15
620,Direct use of solar thermal heat - Consumption by food and tobacco,15
1856,"Vegetal waste - Own use by electricity, heat and CHP plants",14
2209,From chemical heat – Main activity,14
2118,Sub-bituminous coal - Consumption by iron and steel industry,14
2009,Peat Products - Transformation in CHP plants - main activity producers,14
2075,Refinery gas - Consumption by other,14
2210,From chemical heat – Main activity – CHP plants,14
1974,Peat Products - Consumption by food and tobacco ,14
409,Charcoal - Consumption by food and tobacco ,14
407,Charcoal - Consumption by chemical and petrochemical,14
1973,Peat Products - Consumption by construction ,14
135,Biodiesel - Consumption not elsewhere specified (transport),14
746,Fuel oil - Transformation in coke ovens,14
659,"Electricity - net installed capacity of electric power plants, self-producer tide, wave, marine",14
152,"Biodiesel - Transformation in electricity, CHP and heat plants",14
451,Coal Tar - Transformation in CHP plants - autoproducers,14
619,Direct use of solar thermal heat - Consumption by construction,14
1773,Other oil products n.e.c. - Consumption by road,14
1407,Natural gas (including LNG) - consumption by domestic navigation,14
1371,Naphtha - Consumption by non-ferrous metals ,14
630,Direct use of solar thermal heat - Consumption by textile and leather,14
462,Coke Oven Gas - Consumption by households,14
1734,"Other liquid biofuels - Consumption by paper, pulp and print",14
690,Ethane - Transformation in CHP plants - autoproducers,14
691,"Ethane - Transformation in electricity, CHP and heat plants",14
563,Conventional crude oil - consumption by textile and leather,14
818,Gas Oil/ Diesel Oil - Consumption by domestic aviation,13
1070,Industrial Waste - Consumption by households,13
1369,Naphtha - Consumption by industries not elsewhere specified,13
1367,Naphtha - Consumption by food and tobacco ,13
1086,Industrial Waste - Exports,13
34,Anthracite - consumption by mining and quarrying,13
1093,Industrial Waste - Own use by coal mines,13
481,Coke Oven Gas - Other energy industry own use,13
1333,Municipal Wastes - Consumption by households,13
1712,Other kerosene - Transformation in CHP plants - autoproducers,13
10,Animal waste - Consumption by food and tobacco ,13
2002,Peat Products - Own use by coal mines,13
163,Biogases - Consumption by mining and quarrying ,13
2131,Sub-bituminous coal - Consumption by wood and wood products industry,13
2128,Sub-bituminous coal - Consumption by textile and leather,13
625,Direct use of solar thermal heat - Consumption by non-ferrous metals,13
2211,From chemical heat – Main activity – Electricity plants,13
225,Bitumen - Consumption by other,13
559,Conventional crude oil - consumption by non-metallic minerals,13
960,Hard coal - consumption in domestic navigation,13
1049,Heat - Own use by coal liquefaction plants,13
64,Anthracite - transformation in briquetting plants,13
2039,Petroleum coke - Own use by coke ovens,13
1791,Other oil products n.e.c. - Own use by oil and gas extraction,13
989,Hard coal - transformation in gas works,13
2056,Petroleum Coke - Transformation in heat plants - main activity producers,13
226,Bitumen - Consumption by other consumers,13
545,Coking coal - transformation in gas works,12
631,Direct use of solar thermal heat - Consumption by transport equipment,12
553,Conventional crude oil - consumption by households,12
52,Anthracite - losses,12
1660,Other hydrocarbons - transformation in CHP plants - main activity producers,12
519,Coking coal - consumption by transport,12
443,Coal Tar - Own use by gas works,12
123,Biodiesel - Consumption by mining and quarrying ,12
781,Fuelwood - Non-energy uses,12
55,Anthracite - own use by coal mines,12
183,Biogases - Other transformation,12
349,Brown Coal Briquettes - Transformation in heat plants - autoproducers,12
1129,"Kerosene-type Jet Fuel - Own use by electricity, heat and CHP plants",12
1720,"Other liquid biofuels - Consumption by agriculture, forestry and fishing",12
600,Direct use of geothermal heat - Consumption by construction,12
1958,"Peat - own use in electricity, CHP and heat plants",12
118,Biodiesel - Consumption by food and tobacco ,12
1520,Of which: biodiesel - Consumption by mining and quarrying ,12
622,Direct use of solar thermal heat - Consumption by machinery,12
452,Coal Tar - Transformation in CHP plants - main activity producers,12
517,Coking coal - consumption by rail,12
1515,Of which: biodiesel - Consumption by food and tobacco ,12
812,Gas coke - Total energy supply,12
810,Gas coke - production,12
1926,Peat - consumption by construction,11
606,Direct use of geothermal heat - Consumption by non-metallic minerals,11
97,Bagasse - Consumption by non-metallic minerals ,11
1976,Peat products - consumption by iron and steel,11
2070,Refinery Gas - Consumption by industries not elsewhere specified,11
2076,Refinery gas - consumption by other consumers,11
611,Direct use of geothermal heat - Consumption by transport equipment,11
1986,Peat Products - Consumption by transport,11
1984,Peat Products - Consumption by rail,11
173,Biogases - Consumption by wood and wood products ,11
1521,Of which: biodiesel - Consumption by non-metallic minerals ,11
1337,Municipal Wastes - Consumption by mining and quarrying ,11
1921,Patent fuel - Transformation in heat plants - autoproducers,11
333,Brown coal briquettes - Other energy industry own use,11
1354,"Municipal Wastes - Own use by electricity, heat and CHP plants",11
511,Coking coal - consumption by machinery industry,11
1186,Lignite - Transformation in coke ovens,11
883,Gasoline-type jet fuel - Own use by oil refineries,11
1697,Other kerosene - Losses,11
852,Gas Oil/ Diesel Oil - Own use by blast furnaces,11
117,Biodiesel - Consumption by domestic navigation,11
1844,"Vegetal waste - Consumption by paper, pulp and print",11
869,Gas Oil/ Diesel Oil - Transformation in coke ovens,11
878,Gasoline-type jet fuel - Energy industries own use,11
124,Biodiesel - Consumption by non-metallic minerals ,11
1902,Patent fuel - Consumption not elsewhere specified (other),11
430,Coal Tar - Consumption by non-ferrous metals ,11
74,"Aviation gasoline - Consumption by manufacturing, construction and non-fuel industry",10
626,Direct use of solar thermal heat - Consumption by non-metallic minerals,10
1553,Of which: biogasoline - Consumption by other,10
1820,Other recovered gases - Other energy industry own use,10
2074,Refinery Gas - Consumption by non-metallic minerals ,10
203,Biogasoline - Consumption by Other,10
1855,Vegetal waste - Other transformation,10
1385,Naphtha - Other transformation,10
2030,"Petroleum coke - Consumption in agriculture, forestry and fishing",10
442,Coal Tar - Own use by coke ovens,10
1334,Municipal Wastes - Consumption by iron and steel,10
78,Aviation gasoline - Consumption by transport equipment ,10
76,"Aviation gasoline - Consumption by other manuf., const. and non-fuel ind.",10
1977,Peat Products - Consumption by machinery ,10
1884,Paraffin waxes - Transformation,10
556,Conventional crude oil - consumption by machinery,10
1885,Paraffin waxes - Transformation in petrochemical plants,10
1273,Lubricants - Transformation,10
1574,Oil Shale - Consumption by wood and wood products ,10
56,Anthracite - own use by coke ovens,9
561,Conventional crude oil - consumption by other consumers not elsewhere specified,9
750,Fuel oil - Transformation in gas works,9
574,Conventional crude oil - other energy industry own use,9
29,Anthracite - consumption by construction,9
450,Coal Tar - Transformation in blast furnaces,9
1544,Of which: biodiesel - Transformation,9
73,Aviation gasoline - Consumption by commerce and public services,9
1648,Other bituminous coal - transformation in gas works,9
1140,Kerosene-type Jet Fuel - Transformation in electricity plants - main activity producers,9
558,Conventional crude oil - consumption by non-ferrous metals,9
1971,Peat products - consumption by chemical and petrochemical,9
1516,Of which: biodiesel - Consumption by households,9
119,Biodiesel - Consumption by households,9
1139,"Kerosene-type Jet Fuel - Transformation in electricity, CHP and heat plants",9
1850,Vegetal waste - Exports,9
1547,Of which: biodiesel - Transformation in electricity plants - main activity producers,9
1713,Other kerosene - Transformation in CHP plants - main activity producers,9
1325,"Motor gasoline - Transformation in electricity, CHP and heat plants",9
1118,Kerosene-type Jet Fuel - Consumption not elsewhere specified (industry),9
1546,"Of which: biodiesel - Transformation in electricity, CHP and heat plants",9
1326,Motor Gasoline - Transformation in electricity plants - main activity producers,9
151,Biodiesel - Transformation in CHP plants - main activity producers,8
1267,Lubricants - Own use in coke ovens,8
1916,Patent fuel - Transformation in CHP plants - autoproducers,8
1736,Other liquid biofuels - Consumption by transport equipment ,8
1550,Of which: biogasoline - Consumption by domestic navigation,8
1634,Other bituminous coal - own use by gas works,8
1729,Other liquid biofuels - Consumption by mining and quarrying ,8
973,Hard coal - own use by gas works,8
431,Coal Tar - Consumption by non-metallic minerals ,8
1991,Peat Products - Consumption not elsewhere specified (transport),8
922,Gasworks Gas - Stock changes,8
200,Biogasoline - Consumption by domestic navigation,8
1695,Other kerosene - International aviation bunkers,8
1838,Vegetal waste - Consumption by iron and steel,8
566,Conventional crude oil - consumption by wood and wood products,8
1274,Lubricants - Transformation in petrochemical plants,8
1629,Other bituminous coal - other energy industry own use,8
644,Electricity generating capacity - Solar Thermal - Autoproducers,8
1737,Other liquid biofuels - Consumption by wood and wood products ,8
2068,Refinery Gas - Consumption by food and tobacco ,8
2114,"Sub-bituminous coal - Consumption by electricity, CHP and heat plants",8
1481,"Natural gas liquids - Consumption by other manufacturing, construction and non-fuel mining industry",8
1312,Motor Gasoline - Own use by coal mines,8
612,Direct use of geothermal heat - Consumption by wood and wood products,8
1887,Patent fuel - consumption by chemical and petrochemicalindustry,8
1338,Municipal Wastes - Consumption by non-ferrous metals ,8
1137,Kerosene-type Jet Fuel - Transformation in CHP plants - autoproducers,8
534,Coking coal - receipts from other sources,8
1996,Peat products - imports,8
1920,Patent fuel - Transformation in electricity plants - main activity producers,8
1127,Kerosene-type Jet Fuel - International marine bunkers,8
1464,Natural Gas (including LNG) - transformation in gas-to-liquid plants,7
1373,Naphtha - Consumption by other,7
629,"Direct use of solar thermal heat - Consumption by paper, pulp and print",7
786,Fuelwood - Own use by oil refineries,7
1141,Kerosene-type Jet Fuel - Transformation in petrochemical plants,7
71,Anthracite - transformation in heat plants - autoproducers,7
1115,Kerosene-type Jet Fuel - Consumption by road,7
2240,White spirit and special boiling point industrial spirits - Consumption by industries not elsewhere specified,7
865,Gas Oil/ Diesel Oil - Transformatin in gas works,7
1046,Heat - Own use by biogas production plants,7
1378,Naphtha - Consumption by transport,7
1376,Naphtha - Consumption by road,7
1374,Naphtha - Consumption by other consumers not elsewhere specified,7
1822,"Other recovered gases - Own use by electricity, heat and CHP plants",7
1569,Oil shale - consumption by chemical and petrochemical industry,7
426,Coal Tar - Consumption by construction ,7
1514,Of which: biodiesel - Consumption by domestic navigation,7
487,Coke Oven Gas - Own use by gas works,7
348,Brown coal briquettes - transformation in gas works,7
1741,Other liquid biofuels - Energy industries own use,7
1745,Other liquid biofuels - Own use by oil refineries,7
1532,Of which: biodiesel - Consumption not elsewhere specified (transport),7
1760,Other oil products n.e.c. - Consumption by households,7
1845,Vegetal waste - Consumption by textile and leather ,7
496,Coke Oven Gas - Transformation in coke ovens,7
555,Conventional crude oil - consumption by iron and steel,7
1582,Oil shale - Other energy industry own use,7
1918,Patent fuel - Transformation in coke ovens,7
1819,Other recovered gases - Non-energy uses,7
198,"Biogasoline - Consumption by agriculture, forestry and fishing",6
249,Black Liquor - Consumption by machinery ,6
1979,Peat Products - Consumption by mining and quarrying ,6
808,Gas Coke - Final energy consumption,6
13,Animal waste - Consumption by non-metallic minerals ,6
807,Gas coke - final consumption,6
806,Gas coke - Energy industries own use,6
1668,Other kerosene - Consumption by domestic aviation,6
1573,Oil Shale - Consumption by textile and leather ,6
81,Aviation gasoline - Consumption not elsewhere specified (transport),6
1548,"Of which: biogasoline - Consumption by agriculture, forestry and fishing",6
1212,Liquefied petroleum gas (LPG) - Own use by blast furnaces,6
803,Gas coke - Consumption by other,6
1601,Other bituminous coal - consumption by domestic navigation,6
802,"Gas Coke - Consumption by manufacturing, construction and non-fuel industry",6
800,Gas coke - Consumption by households,6
784,Fuelwood - Own use by briquetting plants,6
809,Gas coke - Own use by gas works,6
1344,Municipal Wastes - Consumption by transport equipment ,6
1557,Of which: biogasoline - Consumption not elsewhere specified (other),6
1903,Patent fuel - Conversion in blast furnaces,6
2078,"Refinery Gas - Consumption by paper, pulp and print",6
617,Direct use of solar thermal heat - Consumption by chemical and petrochemical,6
1530,Of which: biodiesel - Consumption not elsewhere specified (industry),6
585,Conventional crude oil - transformation in CHP plants - main activity producers,6
1985,Peat Products - Consumption by textile and leather ,6
2008,Peat Products - Transformation in CHP plants - autoproducers,6
1988,Peat Products - Consumption by wood and wood products ,6
235,Bitumen - Other energy industry own use,6
2247,White spirit and special boiling point industrial spirits - Consumption by road,6
207,Biogasoline - Consumption not elsewhere specified (other),6
63,Anthracite - transformation in blast furnaces,6
453,Coal Tar - Transformation in coke ovens,6
1740,Other liquid biofuels - Consumption not elsewhere specified (other),6
1777,Other oil products n.e.c. - Consumption by wood and wood products ,6
814,Gas coke - transformation in gas works,6
813,Gas coke - Transformation,6
133,Biodiesel - Consumption not elsewhere specified (industry),6
2003,"Peat Products - Own use by electricity, CHP and heat plants",5
388,Brown coal - own use by oil refineries,5
697,Fuel oil - Consumption by domestic aviation,5
101,Bagasse - Consumption by wood and wood products ,5
1239,Liquified Petroleum Gas (LPG) - Consumption by pipeline transport,5
57,"Anthracite - own use by electricity, CHP and heat plants",5
504,"Coking coal - consumption by agriculture, forestry and fishing",5
1264,"Lubricants - Own use by electricity, heat and CHP plants",5
1295,Motor Gasoline - Consumption by rail,5
2016,Petroleum Coke - Consumption by food and tobacco ,5
919,Gasworks Gas - Own use by oil refineries,5
1938,Peat - consumption by transport,5
88,Aviation gasoline - production from plants,5
440,Coal Tar - Other transformation,5
1936,Peat - consumption by rail,5
1307,Motor Gasoline - International marine bunkers,5
1311,Motor Gasoline - Other transformation,5
523,Coking coal - consumption not elsewhere specified (other),5
1314,Motor Gasoline - Own use by gas works,5
969,Hard coal - own use by briquetting plants,5
291,Blast Furnace Gas - Own use by other energy producers,5
601,Direct use of geothermal heat - Consumption by food and tobacco,5
1387,Naphtha - Own use by oil and gas extraction,5
2230,"Tide, wave and marine – Autoproducer",5
1700,Other kerosene - Other transformation,5
1193,Liquefied petroleum gas (LPG) - Consumption by domestic navigation,5
1702,Other kerosene - Own use by coke ovens,5
114,Biodiesel - Consumption by chemical and petrochemical,5
2049,Petroleum coke - Transformation in briquetting plants,5
342,Brown coal briquettes - transformation in briquetting plants,5
1987,Peat Products - Consumption by transport equipment ,5
1176,Lignite - Own use by oil refineries,5
1703,"Other kerosene - Own use by electricity, CHP and heat plants",5
554,Conventional crude oil - consumption by industries not elsewhere specified,5
542,Coking coal - transformation in briquetting plants,5
2108,Sub-bituminous coal - Consumption by briquetting plants,5
1922,Patent fuel - Transformation in heat plants - main activity producers,4
1804,Other oil products n.e.c. - Transformation in gas works,4
456,Coal Tar - Transformation in heat plants - main activity producers,4
153,Biodiesel - Transformation in electricity plants - main activity producers,4
734,Fuel oil - Own use by gas works,4
1723,Other liquid biofuels - Consumption by construction ,4
1725,Other liquid biofuels - Consumption by households,4
1726,Other liquid biofuels - Consumption by iron and steel,4
913,Gasworks Gas - Imports,4
805,Gas Coke - Consumption not elsewhere specified (industry),4
804,"Gas Coke - Consumption by other manuf., const. and non-fuel ind.",4
2221,Nuclear – Autoproducer – CHP plants,4
500,Coke Oven Gas - Transformation in gas works,4
710,Fuel oil - Consumption by pipeline transport,4
1771,Other oil products n.e.c. - Consumption by other transportation,4
427,Coal Tar - Consumption by food and tobacco ,4
811,Gas coke - stock changes,4
2133,Sub-bituminous coal - Consumption not elsewhere specified (other),4
1549,Of which: biogasoline - Consumption by commerce and public services,4
1329,"Municipal Wastes - Consumption by agriculture, forestry and fishing",4
1477,Natural gas liquids - Consumption by mining and quarrying ,4
575,Conventional crude oil - other transformation,4
2100,Refinery gas - Transformation in gas works,4
2066,Refinery Gas - Consumption by commerce and public services,4
335,Brown Coal Briquettes - Own use by oil refineries,4
199,Biogasoline - Consumption by commerce and public services,4
2040,"Petroleum coke - Own use by electricity, heat and CHP plants",4
1870,"Paraffin waxes - Consumption by other manuf., const. and non-fuel min. ind.",3
1488,Natural gas liquids - Consumption not elsewhere specified (industry),3
150,Biodiesel - Transformation in CHP plants - autoproducers,3
1868,Paraffin waxes - Consumption by industries not elsewhere specified,3
1869,"Paraffin waxes - Consumption by manufacturing, construction and non-fuel mining industry",3
1328,Municipal Waste - Losses,3
1874,Paraffin waxes - Final energy consumption,3
1487,Natural gas liquids - Consumption in transport,3
1386,Naphtha - Own use by coke ovens,3
1893,Patent fuel - Consumption by machinery ,3
2067,Refinery Gas - Consumption by construction ,3
25,Animal waste - Transformation in electricity plants - main activity producers,3
2069,Refinery gas - Consumption by households,3
2029,Petroleum Coke - Consumption by transport equipment ,3
1486,Natural gas liquids - Consumption by wood and wood products ,3
565,Conventional crude oil - consumption by transport equipment,3
1471,Natural gas liquids - Consumption by commerce and public services,3
1478,Natural gas liquids - Consumption by non-ferrous metals ,3
134,Biodiesel - Consumption not elsewhere specified (other),3
1475,Natural gas liquids - Consumption by machinery ,3
1473,Natural gas liquids - Consumption by households,3
1472,Natural gas liquids - Consumption by food and tobacco ,3
1789,Other oil products n.e.c. - Own use by coke ovens,3
910,Gasworks Gas - Exports,3
444,Coal Tar - Own use by oil refineries,3
107,Bagasse - Other energy industry own use,3
1469,"Natural gas liquids - Consumption by agriculture, forestry and fishing",3
1776,Other oil products n.e.c. - Consumption by transport equipment ,3
1480,Natural gas liquids - Consumption by Other,3
1482,"Natural gas liquids - Consumption by paper, pulp and print",3
1483,Natural gas liquids - Consumption by road,3
1484,Natural gas liquids - Consumption by textile and leather ,3
1485,Natural gas liquids - Consumption by transport equipment ,3
1630,Other bituminous coal - own use by briquetting plants,3
1479,Natural gas liquids - Consumption by non-metallic minerals ,3
1917,Patent fuel - Transformation in CHP plants - main activity producers,3
1937,Peat - consumption by textile and leather,3
104,Bagasse - Energy industries own use,3
1931,Peat - consumption by non-ferrous metals,3
102,Bagasse - Consumption not elsewhere specified (industry),3
1349,Municipal Wastes - Exports,3
1047,Heat - Own use by blast furnaces,2
1552,Of which: biogasoline - Consumption by mining and quarrying ,2
383,Brown coal - other energy industry own use,2
1263,Lubricants - Other transformation,2
201,"Biogasoline - Consumption by manufacturing, construction and non-fuel industry",2
143,Biodiesel - Other transformation processes not elsewhere classified,2
204,"Biogasoline - Consumption by other manuf., const. and non-fuel ind.",2
144,Biodiesel - Own use by coal mines,2
202,Biogasoline - Consumption by mining and quarrying ,2
1266,Lubricants - Own use in coal mines,2
1730,Other liquid biofuels - Consumption by non-ferrous metals ,2
1261,Lubricants - Losses,2
145,Biodiesel - Own use by oil and gas extraction,2
1254,Lubricants - Consumption by transport,2
1539,Of which: biodiesel - Own use by coal mines,2
1253,Lubricants - Consumption by rail,2
1551,"Of which: biogasoline - Consumption by manufacturing, construction and non-fuel mining industry",2
1622,Other bituminous coal - consumption not elsewhere specified (transport),2
209,Biogasoline - Energy industries own use,2
1540,Of which: biodiesel - Own use by oil and gas extraction,2
141,Biodiesel - International marine bunkers,2
520,Coking coal - consumption by transport equipment industry,2
136,Biodiesel - Energy industries own use,2
1565,Of which: biogasoline - Own use by oil and gas extraction,2
214,Biogasoline - Own use by coal mines,2
215,Biogasoline - own use by oil and gas extraction,2
1564,Of which: biogasoline - Own use by coal mines,2
1559,Of which: biogasoline - Energy industries own use,2
1474,Natural gas liquids - Consumption by iron and steel,2
131,Biodiesel - Consumption by wood and wood products ,2
130,Biodiesel - Consumption by transport equipment ,2
1554,"Of which: biogasoline - Consumption by other manuf., const. and non-fuel ind.",2
127,"Biodiesel - Consumption by paper, pulp and print",2
1023,Heat - Consumption by LNG/regasification plants,2
1774,Other oil products n.e.c. - Consumption by textile and leather ,2
121,Biodiesel - Consumption by machinery ,2
1999,Peat products - Other energy industry own use,2
120,Biodiesel - Consumption by iron and steel,2
1910,Patent fuel - losses,2
2038,Petroleum coke - Own use by blast furnaces,2
1518,Of which: biodiesel - Consumption by machinery ,2
2085,Refinery gas - Own use by coke ovens,2
297,Blast Furnace Gas - Transformation in coke ovens,2
1538,Of which: biodiesel - International marine bunkers,2
1178,Lignite - Receipts from other sources,2
1533,Of which: biodiesel - Energy industries own use,2
1172,Lignite - Other energy industry own use,2
2071,Refinery gas - Consumption by iron and steel,2
1531,Of which: biodiesel - Consumption not elsewhere specified (other),2
491,Coke Oven Gas - Stock changes,2
799,Gas Coke - Consumption by commerce and public services,2
801,Gas Coke - Consumption by iron and steel,2
1528,Of which: biodiesel - Consumption by wood and wood products ,2
180,Biogases - Imports,2
1368,Naphtha - Consumption by households,2
18,Animal waste - Consumption not elsewhere specified (other),2
1524,"Of which: biodiesel - Consumption by paper, pulp and print",2
1527,Of which: biodiesel - Consumption by transport equipment ,2
1511,Of which: biodiesel - Consumption by chemical and petrochemical,2
550,Conventional crude oil - consumption by commerce and public services,2
69,Anthracite - transformation in electricity plants - autoproducers,2
1517,Of which: biodiesel - Consumption by iron and steel,2
270,Blast Furnace Gas - Consumption by food and tobacco ,1
1558,Of which: biogasoline - Consumption not elsewhere specified (transport),1
2084,Refinery gas - Other energy industry own use,1
187,Biogases - Stock changes,1
1895,Patent fuel - Consumption by non-ferrous metals ,1
1876,Paraffin waxes - Losses,1
40,Anthracite - consumption by rail,1
1164,Lignite - Consumption not elsewhere specified (transport),1
2011,Peat Products - Transformation in electricity plants - main activity producers,1
274,Blast Furnace Gas - Consumption by mining and quarrying ,1
247,Bitumen - Transformation in electricity plants - main activity producers,1
46,Anthracite - consumption not elsewhere specified (transport),1
1287,Motor Gasoline - Consumption by non-ferrous metals ,1
279,Blast Furnace Gas - Consumption by transport equipment ,1
457,"Coke Oven Gas - Consumption by agriculture, forestry and fishing",1
278,"Blast Furnace Gas - Consumption by paper, pulp and print",1
269,Blast Furnace Gas - Consumption by construction ,1
54,Anthracite - other transformation,1
1900,Patent fuel - Consumption by textile and leather ,1
2073,Refinery Gas - Consumption by mining and quarrying ,1
43,Anthracite - Consumption in transport,1
521,Coking coal - consumption by wood and wood products industry,1
288,Blast Furnace Gas - Own use by coal mines,1
208,Biogasoline - Consumption not elsewhere specified (transport),1
573,Conventional crude oil - non-energy use,1
603,Direct use of geothermal heat - Consumption by iron and steel,1
142,Biodiesel - Net transfers,1
423,Charcoal - Transformation,1
414,Charcoal - Consumption by textile and leather ,1
233,Bitumen - International marine bunkers,1
1138,Kerosene-type Jet Fuel - Transformation in CHP plants - main activity producers,1
1889,Patent fuel - Consumption by construction ,1
424,"Charcoal - Transformation in electricity, CHP and heat plants",1
1402,Naphtha - Transformation in heat plants - main activity producers,1
2037,Petroleum coke - Other transformation,1
1497,"Natural gas liquids - Own use by electricity, heat and CHP plants",1
1377,Naphtha - Consumption by textile and leather ,1
624,Direct use of solar thermal heat - Consumption by mining and quarrying,1
1545,Of which: biodiesel - Transformation in CHP plants - main activity producers,1
1980,Peat Products - Consumption by non-ferrous metals ,1
1372,Naphtha - Consumption by non-metallic minerals ,1
557,Conventional crude oil - consumption by mining and quarrying,1
337,Brown coal briquettes - Receipts from other sources,1
