,commodity,num of obs
1097,Industrial Waste - Production,571
872,Gas Oil/ Diesel Oil - Transformation in electricity plants - main activity producers,565
1463,Natural Gas (including LNG) - transformation in electricity plants - main activity producers,564
1232,Liquified Petroleum Gas (LPG) - Consumption by food and tobacco,563
294,Blast furnace gas - Transformation,561
1018,Heat - Consumption by commerce and public services,561
1380,Naphtha - Exports,561
298,"Blast Furnace Gas - Transformation in electricity, CHP and heat plants",560
701,Fuel oil - Consumption by iron and steel,560
1448,Natural gas (including LNG) - own use by oil and gas extraction,560
1406,Natural Gas (including LNG) - consumption by construction,559
1671,Other kerosene - Consumption by households,559
711,Fuel oil - Consumption by textile and leather ,557
712,Fuel oil - Consumption by transport,557
1043,Heat - Losses,556
2193,Electricity - Own use by coal mines,556
1859,Vegetal waste - Total energy supply,555
489,Coke Oven Gas - Production,555
1857,Vegetal waste - Production,555
1201,"Liquefied petroleum gas (LPG) - Consumption in agriculture, forestry and fishing",555
492,Coke Oven Gas - Total energy supply,555
2034,Petroleum Coke - Final energy consumption,554
1423,Natural Gas (including LNG) - consumption by transport equipment,554
2225,Of which: Pumped hydro – Main activity,551
627,Direct use of solar thermal heat - Consumption by other,551
634,Direct use of solar thermal heat - Final energy consumption,551
378,Brown coal - final consumption,550
379,Brown coal - Final energy consumption,550
2199,Electricity - Own use by oil and gas extraction,548
702,Fuel oil - Consumption by machinery ,547
179,Biogases - Final energy consumption,543
178,Biogases - Final consumption,543
478,Coke Oven Gas - Final energy consumption,541
465,"Coke Oven Gas - Consumption by manufacturing, construction and non-fuel industry",541
477,Coke Oven Gas - Final consumption,541
422,Charcoal - Total energy supply,540
463,Coke Oven Gas - Consumption by iron and steel,540
2021,"Petroleum coke - Consumption by manufacturing, construction and non-fuel mining industry",540
744,Fuel oil - Transformation in CHP plants - autoproducers,537
985,Hard coal - transformation in coke ovens,534
1449,Natural gas (including LNG) - own use by oil refineries,533
536,Coking coal - total energy supply,533
1234,Liquified Petroleum Gas (LPG) - Consumption by machinery,533
1357,Municipal wastes - Total energy supply,531
1603,Other bituminous coal - consumption by households,531
741,Fuel oil - Transfers and recycled products,530
2045,Petroleum coke - Stock changes,530
1017,Heat - Consumption by chemical and petrochemical,529
497,"Coke Oven Gas - Transformation in electricity, CHP and heat plants",529
1355,Municipal Wastes - Production,529
493,Coke Oven Gas - Transformation,529
1057,Heat production - Autoproducer total,529
2027,"Petroleum coke - Consumption by other manuf., const. and non-fuel min. ind.",528
1852,Vegetal waste - Final energy consumption,524
1851,Vegetal waste - Final consumption,524
1424,Natural Gas (including LNG) - consumption by wood and wood products,523
1237,Liquified Petroleum Gas (LPG) - Consumption by non-metallic minerals,522
1624,Other bituminous coal - exports,522
1035,Heat - Consumption not elsewhere specified (industry),517
2257,White spirit and special boiling point industrial spirits - production from refineries,517
2256,White spirit and special boiling point industrial spirits - Production,517
485,Coke Oven Gas - Own use by coke ovens,514
476,Coke Oven Gas - Energy industries own use,514
745,Fuel oil - Transformation in CHP plants - main activity producers,513
834,Gas Oil/ Diesel Oil - Consumption by wood and wood products ,513
2094,Refinery gas - Transformation,506
365,"Brown coal - consumption by other manuf., const. and non-fuel ind.",506
360,"Brown coal - consumption by manufacturing, construction and non-fuel mining industry",506
1383,Naphtha - Imports,506
698,Fuel oil - Consumption by domestic navigation,505
537,Coking coal - transformation,505
543,Coking coal - transformation in coke ovens,505
1180,Lignite - Total energy supply,501
2044,Petroleum coke - production from refineries,497
2043,Petroleum coke - Production,497
417,Charcoal - Final consumption,495
418,Charcoal - Final energy consumption,495
412,Charcoal - Consumption by other,494
351,Brown coal - changes in stocks,493
621,Direct use of solar thermal heat - Consumption by households,492
833,Gas Oil/ Diesel Oil - Consumption by transport equipment ,492
2060,Feedstocks - stock changes,492
825,Gas Oil/ Diesel Oil - Consumption by non-ferrous metals ,492
2097,"Refinery gas - Transformation in electricity, CHP and heat plants",491
705,Fuel oil - Consumption by non-ferrous metals ,490
1358,Municipal Wastes - Transformation,488
1361,"Municipal Wastes - Transformation in electricity, CHP and heat plants",488
1462,Natural Gas (including LNG) - transformation in electricity plants - autoproducers,487
714,Fuel oil - Consumption by wood and wood products ,486
668,"Electricity - total net installed capacity of electric power plants, solar",486
166,Biogases - Consumption by other,485
528,Coking coal - imports,485
398,"Brown coal - Transformation in electricity, CHP and heat plants",484
1167,Lignite - Final consumption,484
392,Brown coal - transformation,484
1168,Lignite - Final energy consumption,484
1210,Liquefied petroleum gas (LPG) - Non-energy uses,483
1875,Paraffin waxes - Imports,482
938,Hard coal - consumption by chemical and petrochemical industry,481
